"country","category","indicator","response"
"Algeria","Population and Economy","Life expectancy","77"
"Algeria","Population and Economy","Population","46164219"
"Algeria","Population and Economy","Total Health Expenditure","5.53"
"Algeria","Mortality per 100 000 population","All cause/all ages","655.1"
"Algeria","Mortality per 1000 live births","All cause/under 5 years","21.8"
"Algeria","Influenza like Illness (ILI) Surveillance","Is laboratory confirmation sought for ILI sentinel surveillance","Yes"
"Algeria","Influenza like Illness (ILI) Surveillance","Numbers of ILI sentinel surveillance sites","10"
"Algeria","Influenza like Illness (ILI) Surveillance","Surveillance case definition used for ILI case ascertainment.","WHO 2014"
"Algeria","Influenza like Illness (ILI) Surveillance","Type of ILI surveillance","Sentinel"
"Algeria","Severe acute respiratory infection (SARI) surveillance","Is laboratory confirmation sought for SARI sentinel surveillance","Yes"
"Algeria","Severe acute respiratory infection (SARI) surveillance","Is there timely all-cause mortality data available in the country?","Yes"
"Algeria","Severe acute respiratory infection (SARI) surveillance","Number of SARI sentinel surveillance sites","4"
"Algeria","Severe acute respiratory infection (SARI) surveillance","Sentinel sites involved in SARI surveillance.","Hospital"
"Algeria","Severe acute respiratory infection (SARI) surveillance","Surveillance case definition used for SARI case ascertainment.","WHO 2014"
"Algeria","Severe acute respiratory infection (SARI) surveillance","Type of SARI surveillance","Sentinel"
"Algeria","Virological surveillance","Antiviral susceptibility testing capability","Yes"
"Algeria","Virological surveillance","Average number of virological samples processed per week (2024)","48"
"Algeria","Virological surveillance","Does the country forward samples to a WHO CC?","Yes"
"Algeria","Virological surveillance","Does the country have a designated National Influenza Centre (NIC)","Yes"
"Algeria","Virological surveillance","Does the country have a designated National Influenza reference laboratory?","Yes"
"Algeria","Virological surveillance","Does the country have genomic sequencing capacity?","Yes"
"Algeria","Virological surveillance","Does the country have RT-PCR capacity?","Yes"
"Algeria","Virological surveillance","Does the country test for other respiratory viruses?","Yes"
"Algeria","Virological surveillance","Does the laboratory participate in the External Quality Assurance Panel (EQAP)?","Yes"
"Algeria","Virological surveillance","RT-PCR","Yes"
"Algeria","Virological surveillance","Sequencing capacity","Yes"
"Algeria","Virological surveillance","Type of virological surveillance","Sentinel"
"Algeria","Virological surveillance","Virus Isolation capacity","Yes"
"Algeria","Data reporting & use","Are epidemiological and virological sentinel surveillance datasets integrated?","Yes"
"Algeria","Data reporting & use","Does the country report to the FluID?","Yes"
"Algeria","Data reporting & use","Does the country report to the FluNet?","Yes"
"Algeria","Data reporting & use","Does the country share virus isolate and clinical specimens with WHO CC","Yes"
"Algeria","Data reporting & use","Does the country use the PISA tool to assess the severity of seasonal influenza?","No"
"Algeria","Data reporting & use","Has the country performed a burden of disease analysis?","Yes"
"Algeria","Data reporting & use","Reporting consistency (2023-2024)","1"
"Algeria","Data reporting & use","Was it published? If yes provide link","No"
"Algeria","Data reporting & use","What was the estimated burden?","No"
"Algeria","Data reporting & use","What year was it performed?","No"
"Algeria","Vaccination","Does the country have a formal seasonal influenza vaccination policy?","Yes"
"Algeria","Vaccination","Has seasonal influenza vaccine been introduced in the private sector?","Yes"
"Algeria","Vaccination","Has seasonal influenza vaccine been introduced in the public sector? Year introduced;","Yes"
"Algeria","Vaccination","What are the recommended risk groups for influenza vaccine?","Chronic conditions, Older adults, Pregnant women, Children under 5"
"Algeria","Vaccination","Which vaccine formulation is used in the country: Northern/Southern hemisphere vaccine?","Northen Hemisphere"
"Algeria","Pandemic preparedness and response","All Hazardzs","No"
"Algeria","Pandemic preparedness and response","COVID-19 specific","Yes 2022"
"Algeria","Pandemic preparedness and response","Does the country have another pandemic preparedness plan available?","Yes"
"Algeria","Pandemic preparedness and response","Does the country have an updated national pandemic vaccine deployment plan for Influenza pandemic vaccine","In progress"
"Algeria","Pandemic preparedness and response","Does the country have a respiratory pathogen pandemic preparedness pan (PRET)?","No"
"Algeria","Pandemic preparedness and response","Has the country perfomed a influenza simulation exercise(s) for their pandemic preparedness plan?","No"
"Algeria","Pandemic preparedness and response","Influenza specific","Yes 2017"
"Algeria","Pandemic preparedness and response","Year plan Last updated","N/A"
"Algeria","Pandemic preparedness and response","Year simulation conducted","No"
"Algeria","Integration of Influenza surveillance and SARS-CoV-2","Does the country report SARS-CoV-2 results to the Flu Net?","Yes"
"Algeria","Integration of Influenza surveillance and SARS-CoV-2","Has the country integrated influenza and SARS-CoV-2 sentinel surveillance?","Yes"
"Algeria","Zoonotic Influenza surveillance","Does the country perform surveillance activities at the human-animal interface?","Yes"
"Algeria","Zoonotic Influenza surveillance","Has the country performed joint risk assessment?","No"
"Algeria","Zoonotic Influenza surveillance","If yes, when","No"
"Angola","Population and Economy","Life expectancy","62"
"Angola","Population and Economy","Population","36749906"
"Angola","Population and Economy","Total Health Expenditure","2.96"
"Angola","Mortality per 100 000 population","All cause/all ages","1272.2"
"Angola","Mortality per 1000 live births","All cause/under 5 years","66.9"
"Angola","Influenza like Illness (ILI) Surveillance","Is laboratory confirmation sought for ILI sentinel surveillance","Yes"
"Angola","Influenza like Illness (ILI) Surveillance","Numbers of ILI sentinel surveillance sites","3"
"Angola","Influenza like Illness (ILI) Surveillance","Surveillance case definition used for ILI case ascertainment.","WHO 2014"
"Angola","Influenza like Illness (ILI) Surveillance","Type of ILI surveillance","Sentinel"
"Angola","Severe acute respiratory infection (SARI) surveillance","Is laboratory confirmation sought for SARI sentinel surveillance","Yes"
"Angola","Severe acute respiratory infection (SARI) surveillance","Is there timely all-cause mortality data available in the country?","Yes"
"Angola","Severe acute respiratory infection (SARI) surveillance","Number of SARI sentinel surveillance sites","3"
"Angola","Severe acute respiratory infection (SARI) surveillance","Sentinel sites involved in SARI surveillance.","Hospital"
"Angola","Severe acute respiratory infection (SARI) surveillance","Surveillance case definition used for SARI case ascertainment.","WHO 2014"
"Angola","Severe acute respiratory infection (SARI) surveillance","Type of SARI surveillance","Sentinel"
"Angola","Virological surveillance","Antiviral susceptibility testing capability","No"
"Angola","Virological surveillance","Average number of virological samples processed per week (2024)","8"
"Angola","Virological surveillance","Does the country forward samples to a WHO CC?","No"
