country,category,indicator,response,category_id,indicator_id
Algeria,Population and Economy,Population,46164219,1,1
Algeria,Population and Economy,Total Health Expenditure,5.53,1,2
Algeria,Population and Economy,Life expectancy,77,1,3
Algeria,Mortality per 100 000 population,All cause/all ages,655.1,2,4
Algeria,Mortality per 1000 live births,All cause/under 5 years,21.8,3,5
Algeria,Influenza like Illness (ILI) Surveillance,Type of ILI surveillance,Sentinel,4,6
Algeria,Influenza like Illness (ILI) Surveillance,Surveillance case definition used for ILI case ascertainment.,WHO 2014,4,7
Algeria,Influenza like Illness (ILI) Surveillance,Is laboratory confirmation sought for ILI sentinel surveillance,Yes,4,8
Algeria,Influenza like Illness (ILI) Surveillance,Numbers of ILI sentinel surveillance sites,10,4,9
Algeria,Severe acute respiratory infection (SARI) surveillance,Type of SARI surveillance,Sentinel,5,10
Algeria,Severe acute respiratory infection (SARI) surveillance,Sentinel sites involved in SARI surveillance.,Hospital,5,11
Algeria,Severe acute respiratory infection (SARI) surveillance,Surveillance case definition used for SARI case ascertainment.,WHO 2014,5,12
Algeria,Severe acute respiratory infection (SARI) surveillance,Is laboratory confirmation sought for SARI sentinel surveillance,Yes,5,13
Algeria,Severe acute respiratory infection (SARI) surveillance,Number of SARI sentinel surveillance sites,4,5,14
Algeria,Severe acute respiratory infection (SARI) surveillance,Is there timely all-cause mortality data available in the country?,Yes,5,15
Algeria,Virological surveillance,Type of virological surveillance,Sentinel,6,16
Algeria,Virological surveillance,Average number of virological samples processed per week (2024),48,6,32
Algeria,Virological surveillance,Does the country have RT-PCR capacity?,Yes,6,18
Algeria,Virological surveillance,Does the country have genomic sequencing capacity?,Yes,6,19
Algeria,Virological surveillance,Does the country test for other respiratory viruses?,Yes,6,20
Algeria,Virological surveillance,Does the country have a designated National Influenza Centre (NIC),Yes,6,21
Algeria,Virological surveillance,Does the country have a designated National Influenza reference laboratory?,Yes,6,22
Algeria,Virological surveillance,Does the laboratory participate in the External Quality Assurance Panel (EQAP)?,Yes,6,23
Algeria,Virological surveillance,RT-PCR,Yes,6,24
Algeria,Virological surveillance,Virus Isolation capacity,Yes,6,25
Algeria,Virological surveillance,Antiviral susceptibility testing capability,Yes,6,65
Algeria,Virological surveillance,Sequencing capacity,Yes,6,66
Algeria,Virological surveillance,Does the country forward samples to a WHO CC?,Yes,6,28
Algeria,Data reporting & use,Are epidemiological and virological sentinel surveillance datasets integrated?,Yes,8,34
Algeria,Data reporting & use,Does the country share virus isolate and clinical specimens with WHO CC,Yes,8,30
Algeria,Data reporting & use,Does the country report to the FluID?,Yes,8,31
Algeria,Data reporting & use,Reporting consistency (2023-2024),1,8,61
Algeria,Data reporting & use,Does the country report to the FluNet?,Yes,8,33
Algeria,Data reporting & use,Does the country use the PISA tool to assess the severity of seasonal influenza?,No,8,35
Algeria,Data reporting & use,Has the country performed a burden of disease analysis?,Yes,8,36
Algeria,Data reporting & use,What year was it performed?,No,8,37
Algeria,Data reporting & use,What was the estimated burden?,No,8,38
Algeria,Data reporting & use,Was it published? If yes provide link,No,8,39
Algeria,Vaccination,Does the country have a formal seasonal influenza vaccination policy?,Yes,9,40
Algeria,Vaccination,Has seasonal influenza vaccine been introduced in the public sector? Year introduced;,Yes,9,41
Algeria,Vaccination,Has seasonal influenza vaccine been introduced in the private sector?,Yes,9,42
Algeria,Vaccination,What are the recommended risk groups for influenza vaccine?,"Chronic conditions, Older adults, Pregnant women, Children under 5",9,43
Algeria,Vaccination,Which vaccine formulation is used in the country: Northern/Southern hemisphere vaccine?,Northen Hemisphere,9,44
Algeria,Pandemic preparedness and response,Does the country have a respiratory pathogen pandemic preparedness pan (PRET)?,No,10,45
Algeria,Pandemic preparedness and response,Year plan Last updated,N/A,10,46
Algeria,Pandemic preparedness and response,Does the country have another pandemic preparedness plan available?,Yes,10,47
Algeria,Pandemic preparedness and response,Influenza specific,Yes 2017,10,48
Algeria,Pandemic preparedness and response,COVID-19 specific,Yes 2022,10,49
Algeria,Pandemic preparedness and response,All Hazards,No,10,50
Algeria,Pandemic preparedness and response,Has the country perfomed a influenza simulation exercise(s) for their pandemic preparedness plan?,No,10,51
Algeria,Pandemic preparedness and response,Year simulation conducted,No,10,52
Algeria,Pandemic preparedness and response,Does the country have an updated national pandemic vaccine deployment plan for Influenza pandemic vaccine,In progress,10,53
Algeria,Integration of Influenza surveillance and SARS-CoV-2,Has the country integrated influenza and SARS-CoV-2 sentinel surveillance?,Yes,11,54
Algeria,Integration of Influenza surveillance and SARS-CoV-2,Does the country report SARS-CoV-2 results to the Flu Net?,Yes,11,26
Algeria,Zoonotic Influenza surveillance,Does the country perform surveillance activities at the human-animal interface?,Yes,12,56
Algeria,Zoonotic Influenza surveillance,Has the country performed joint risk assessment?,No,12,57
Algeria,Zoonotic Influenza surveillance,"If yes, when",No,12,58
Angola,Population and Economy,Population,36749906,1,1
Angola,Population and Economy,Total Health Expenditure,2.96,1,2
Angola,Population and Economy,Life expectancy,62,1,3
Angola,Mortality per 100 000 population,All cause/all ages,1272.2,2,4
Angola,Mortality per 1000 live births,All cause/under 5 years,66.9,3,5
Angola,Influenza like Illness (ILI) Surveillance,Type of ILI surveillance,Sentinel,4,6
Angola,Influenza like Illness (ILI) Surveillance,Surveillance case definition used for ILI case ascertainment.,WHO 2014,4,7
Angola,Influenza like Illness (ILI) Surveillance,Is laboratory confirmation sought for ILI sentinel surveillance,Yes,4,8
Angola,Influenza like Illness (ILI) Surveillance,Numbers of ILI sentinel surveillance sites,3,4,9
Angola,Severe acute respiratory infection (SARI) surveillance,Type of SARI surveillance,Sentinel,5,10
Angola,Severe acute respiratory infection (SARI) surveillance,Sentinel sites involved in SARI surveillance.,Hospital,5,11
Angola,Severe acute respiratory infection (SARI) surveillance,Surveillance case definition used for SARI case ascertainment.,WHO 2014,5,12
Angola,Severe acute respiratory infection (SARI) surveillance,Is laboratory confirmation sought for SARI sentinel surveillance,Yes,5,13
Angola,Severe acute respiratory infection (SARI) surveillance,Number of SARI sentinel surveillance sites,3,5,14
Angola,Severe acute respiratory infection (SARI) surveillance,Is there timely all-cause mortality data available in the country?,Yes,5,15
Angola,Virological surveillance,Does the National Influenza reference laboratory have:,No,6,64
Angola,Virological surveillance,Type of virological surveillance,Sentinel,6,16
Angola,Virological surveillance,Average number of virological samples processed per week (2024),8,6,32
Angola,Virological surveillance,Does the country have RT-PCR capacity?,Yes,6,18
Angola,Virological surveillance,Does the country have genomic sequencing capacity?,Yes,6,19
Angola,Virological surveillance,Does the country test for other respiratory viruses?,Yes,6,20
